habit_id,student_id,study_hours_weekly,study_location,preferred_study_time,study_method,procrastination_level,organization_level,uses_study_aids,academic_term,academic_year,country
NGA_HAB_00012036,NGA_STU_00074034,8.1,Home,Afternoon,Video Tutorials,3.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00056489,NGA_STU_00004937,2.5,Classroom,Morning,Practice Problems,3.0,1.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00024775,NGA_STU_00060403,6.6,Study Group,Morning,Video Tutorials,1.0,2.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00054373,NGA_STU_00038381,2.5,Library,Afternoon,Reading,3.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00034437,NGA_STU_00089853,6.5,Home,Evening,Note-taking,2.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00030017,NGA_STU_00046973,8.4,Home,Variable,Practice Problems,5.0,2.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00083819,NGA_STU_00086893,6.3,Home,Afternoon,Flashcards,1.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00098566,NGA_STU_00030393,3.2,Home,Afternoon,Note-taking,4.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00065356,NGA_STU_00015491,4.1,Home,Afternoon,Note-taking,5.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00049147,NGA_STU_00083694,5.8,Online,Night,Practice Problems,3.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00086344,NGA_STU_00096746,1.5,Home,Afternoon,Group Study,1.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00069994,NGA_STU_00066519,5.9,Library,Morning,Reading,4.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00083814,NGA_STU_00035407,3.7,Library,Afternoon,Reading,2.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00082120,NGA_STU_00078925,9.0,Home,Evening,Note-taking,4.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00018554,NGA_STU_00061040,7.2,Study Group,Night,Practice Problems,3.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00016814,NGA_STU_00099987,5.6,Classroom,Afternoon,Reading,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00037147,NGA_STU_00086641,5.2,Home,Afternoon,Reading,3.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00088567,NGA_STU_00098359,8.2,Online,Afternoon,Practice Problems,4.0,4.0,True,Term 2,,Nigeria
NGA_HAB_00010443,NGA_STU_00007612,8.7,Study Group,Afternoon,Practice Problems,3.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00045247,NGA_STU_00006803,8.9,Home,Evening,Practice Problems,5.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00074435,NGA_STU_00052257,11.2,Home,Night,Group Study,3.0,4.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00021599,NGA_STU_00016279,6.5,Library,Afternoon,Reading,5.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00053726,NGA_STU_00084264,5.2,Library,Morning,Video Tutorials,5.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00026083,NGA_STU_00035388,10.3,Cafe,Morning,Note-taking,3.0,1.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00013043,NGA_STU_00010537,8.5,,Evening,Reading,3.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00064118,NGA_STU_00054918,4.8,Library,Afternoon,Note-taking,2.0,5.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00036700,NGA_STU_00018440,12.4,Library,Afternoon,Note-taking,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00084953,NGA_STU_00027622,4.2,Classroom,Night,Practice Problems,4.0,2.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00090623,NGA_STU_00080374,13.2,Home,Afternoon,Practice Problems,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00091939,NGA_STU_00092070,6.4,Study Group,Night,Note-taking,3.0,5.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00011666,NGA_STU_00015732,1.9,Home,Variable,Note-taking,2.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00084251,NGA_STU_00093705,10.8,Home,Night,Video Tutorials,2.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00022276,NGA_STU_00045900,9.3,Study Group,Night,Note-taking,4.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00012547,NGA_STU_00018033,4.9,Home,Afternoon,Note-taking,3.0,1.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00043247,NGA_STU_00049257,,Library,Morning,Reading,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00064087,NGA_STU_00038710,5.8,Cafe,Evening,Video Tutorials,5.0,5.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00085186,NGA_STU_00047961,4.9,Home,Night,Note-taking,1.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00047949,NGA_STU_00044653,16.7,Classroom,Afternoon,Note-taking,4.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00030724,NGA_STU_00044561,7.3,Classroom,Night,Reading,2.0,1.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00011047,NGA_STU_00007523,9.0,Library,Afternoon,Practice Problems,3.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00049661,NGA_STU_00008694,6.3,Home,Evening,Flashcards,3.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00010572,NGA_STU_00003346,8.1,Home,Afternoon,Flashcards,3.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00038277,NGA_STU_00092482,4.9,Library,Afternoon,Reading,3.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00011081,NGA_STU_00091861,15.8,Study Group,Evening,Group Study,3.0,4.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00072809,NGA_STU_00057702,6.4,Home,Morning,Reading,3.0,3.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00074721,NGA_STU_00064745,11.4,Home,Afternoon,Note-taking,2.0,2.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00011404,NGA_STU_00053811,5.8,Home,Night,Reading,3.0,1.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00089592,NGA_STU_00088915,4.3,Home,Evening,Group Study,3.0,2.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00030797,NGA_STU_00069903,8.8,Library,Evening,Note-taking,4.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00099991,NGA_STU_00098306,7.0,Online,Afternoon,Reading,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00090298,NGA_STU_00087491,8.3,Online,Morning,Practice Problems,3.0,4.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00092426,NGA_STU_00023345,9.8,Library,Evening,Group Study,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00015054,NGA_STU_00078824,12.2,Classroom,Afternoon,Note-taking,5.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00074019,NGA_STU_00022857,5.3,Study Group,Afternoon,Group Study,4.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00090357,NGA_STU_00066526,9.2,Classroom,Afternoon,Note-taking,1.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00040500,NGA_STU_00076457,5.7,Home,Night,Group Study,3.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00047089,NGA_STU_00047343,13.6,Study Group,Night,Practice Problems,2.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00020535,NGA_STU_00062495,9.7,Library,Morning,Video Tutorials,5.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00046080,NGA_STU_00024129,8.6,Home,Morning,Group Study,3.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00096839,NGA_STU_00010315,16.3,Home,,Group Study,2.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00023739,NGA_STU_00069678,8.3,Home,Afternoon,Group Study,4.0,1.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00009408,NGA_STU_00024596,11.9,Home,Morning,Note-taking,4.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00066949,NGA_STU_00067624,3.7,Home,Afternoon,Reading,3.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00062762,NGA_STU_00085765,6.8,Library,Night,Note-taking,4.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00080845,NGA_STU_00095221,6.3,Library,Afternoon,Reading,4.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00021217,NGA_STU_00048061,4.5,Home,Variable,Group Study,1.0,5.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00041523,NGA_STU_00066920,10.6,Home,Afternoon,Note-taking,4.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00011265,NGA_STU_00044111,8.6,Library,Night,Reading,3.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00033478,NGA_STU_00045303,6.4,Home,Night,Note-taking,1.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00076491,NGA_STU_00008084,8.3,Library,Evening,Reading,2.0,1.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00055516,NGA_STU_00061140,11.8,Library,Evening,Note-taking,5.0,2.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00063071,NGA_STU_00017280,7.6,Library,Evening,Note-taking,4.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00097410,NGA_STU_00040824,7.1,Library,Morning,Video Tutorials,2.0,2.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00088159,NGA_STU_00019510,11.2,Home,Evening,Practice Problems,3.0,4.0,False,,2023/2024,Nigeria
NGA_HAB_00002409,NGA_STU_00054624,11.0,Library,Afternoon,Practice Problems,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00003222,NGA_STU_00052756,2.9,Study Group,Evening,Note-taking,4.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00075517,NGA_STU_00077556,5.7,Home,Night,Practice Problems,2.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00093263,NGA_STU_00019173,17.4,Home,Afternoon,Group Study,5.0,1.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00033894,NGA_STU_00090124,6.4,Home,Variable,Reading,2.0,5.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00032213,NGA_STU_00048444,7.5,Cafe,Evening,Practice Problems,2.0,5.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00022793,NGA_STU_00062679,6.0,Home,Night,Video Tutorials,4.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00013645,NGA_STU_00038057,4.3,Home,Evening,Video Tutorials,2.0,1.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00088852,NGA_STU_00033044,3.4,Cafe,Night,Video Tutorials,3.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00003946,NGA_STU_00016566,18.9,Online,Variable,Flashcards,3.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00017164,NGA_STU_00067261,7.4,Online,Afternoon,Practice Problems,1.0,1.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00041611,NGA_STU_00078812,5.2,Classroom,Variable,Reading,2.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00091552,NGA_STU_00098694,3.8,Study Group,Evening,Note-taking,2.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00053253,NGA_STU_00008066,13.4,Study Group,Night,Practice Problems,5.0,1.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00001801,NGA_STU_00045539,,Library,Afternoon,Video Tutorials,3.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00044977,NGA_STU_00081137,5.0,Study Group,Evening,Note-taking,3.0,5.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00076409,NGA_STU_00082295,9.1,Home,Evening,Practice Problems,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00073658,NGA_STU_00061778,5.3,Home,Night,Note-taking,2.0,3.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00034427,NGA_STU_00035308,4.7,Home,Morning,Practice Problems,4.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00081750,NGA_STU_00057513,9.5,Study Group,Evening,Practice Problems,3.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00044596,NGA_STU_00062915,6.8,Home,Afternoon,Group Study,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00097231,NGA_STU_00016994,2.9,Home,Afternoon,Note-taking,5.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00039317,NGA_STU_00023719,6.0,Home,Afternoon,Reading,2.0,1.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00079316,NGA_STU_00043085,18.4,Library,Evening,Practice Problems,5.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00000953,NGA_STU_00044247,10.5,Home,Morning,Video Tutorials,5.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00087664,NGA_STU_00099451,7.0,Library,Morning,Note-taking,4.0,5.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00092943,NGA_STU_00084512,6.3,Study Group,Evening,Reading,5.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00001059,NGA_STU_00059383,8.1,Home,Variable,Practice Problems,2.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00029395,NGA_STU_00087702,7.9,Classroom,Variable,Practice Problems,4.0,2.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00024233,NGA_STU_00065316,10.9,Cafe,Morning,Video Tutorials,4.0,,False,Term 3,2023/2024,Nigeria
NGA_HAB_00067257,NGA_STU_00031117,7.0,Library,Afternoon,Group Study,5.0,2.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00019570,NGA_STU_00051423,10.4,Home,Evening,Note-taking,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00099886,NGA_STU_00034777,3.2,Study Group,Evening,Video Tutorials,4.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00007842,NGA_STU_00054530,8.3,Home,Night,Reading,3.0,5.0,True,Term 1,2024/2025,
NGA_HAB_00072687,NGA_STU_00069857,5.6,Study Group,Morning,Flashcards,1.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00067090,NGA_STU_00007280,10.4,Home,Afternoon,Flashcards,1.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00043121,NGA_STU_00029107,12.5,Library,Night,Practice Problems,1.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00047441,NGA_STU_00072404,3.3,Home,Night,Video Tutorials,3.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00023476,NGA_STU_00015213,6.9,Home,Variable,Note-taking,5.0,3.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00018048,NGA_STU_00004787,5.8,Home,Afternoon,Group Study,3.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00085424,NGA_STU_00014523,8.4,Online,Evening,Practice Problems,2.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00096820,NGA_STU_00070363,13.1,Home,Night,Group Study,1.0,,False,Term 2,2024/2025,Nigeria
NGA_HAB_00006301,NGA_STU_00020811,4.8,Home,Variable,Practice Problems,2.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00098840,NGA_STU_00027260,13.2,Library,Afternoon,Reading,5.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00045051,NGA_STU_00042494,6.2,Library,Morning,Reading,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00036871,NGA_STU_00071341,8.3,Library,Afternoon,Group Study,2.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00053484,NGA_STU_00034184,3.4,Home,Night,Group Study,4.0,4.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00055567,NGA_STU_00001759,6.6,Home,Morning,Practice Problems,2.0,4.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00041468,NGA_STU_00066748,4.4,Home,Afternoon,Reading,2.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00078379,NGA_STU_00077586,6.7,Library,Variable,Reading,2.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00042513,NGA_STU_00098661,16.2,Online,Morning,Practice Problems,3.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00005112,NGA_STU_00084811,5.8,Online,Evening,Note-taking,2.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00047630,NGA_STU_00012793,2.4,Home,Afternoon,Reading,3.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00056832,NGA_STU_00088603,5.2,Online,Morning,Practice Problems,3.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00060305,NGA_STU_00077746,7.2,Classroom,Evening,Reading,4.0,1.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00082237,NGA_STU_00007080,5.2,Library,Night,Group Study,2.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00043559,NGA_STU_00054337,12.3,Study Group,Variable,Video Tutorials,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00079410,NGA_STU_00009499,23.2,Home,Evening,Group Study,1.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00095388,NGA_STU_00019157,1.8,Library,Evening,Group Study,4.0,2.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00083542,NGA_STU_00073120,8.6,Library,Afternoon,Practice Problems,1.0,3.0,True,Term 2,,Nigeria
NGA_HAB_00086817,NGA_STU_00055602,9.2,Home,Evening,Practice Problems,2.0,,True,Term 3,2023/2024,Nigeria
NGA_HAB_00060625,NGA_STU_00092504,10.7,Library,Evening,Video Tutorials,4.0,1.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00008909,NGA_STU_00046660,5.6,Online,Evening,Reading,4.0,1.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00099577,NGA_STU_00098969,10.3,Home,Morning,Practice Problems,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00054406,NGA_STU_00083989,7.4,Study Group,Evening,Practice Problems,2.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00073426,NGA_STU_00059761,,Home,Evening,Note-taking,4.0,3.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00082561,NGA_STU_00094494,10.3,Library,Evening,Group Study,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00021738,NGA_STU_00090266,10.6,Home,Night,Reading,2.0,3.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00060418,NGA_STU_00049009,2.6,Home,Morning,,4.0,5.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00007633,NGA_STU_00073805,9.7,Cafe,Morning,Note-taking,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00080760,NGA_STU_00067026,7.8,Study Group,Night,Video Tutorials,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00009932,NGA_STU_00083683,10.3,Library,Evening,Reading,1.0,5.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00077613,NGA_STU_00062229,10.2,Library,Night,Group Study,5.0,5.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00090893,NGA_STU_00076641,7.7,Home,Morning,Practice Problems,2.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00057512,NGA_STU_00062190,4.6,Classroom,Variable,Note-taking,3.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00098072,NGA_STU_00048630,5.7,Study Group,Morning,Reading,4.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00053336,NGA_STU_00000143,6.3,Home,Evening,Video Tutorials,3.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00091371,NGA_STU_00010598,2.6,Home,Night,Reading,2.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00018905,NGA_STU_00083791,3.5,Study Group,Morning,Practice Problems,4.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00009158,NGA_STU_00099174,7.1,Home,Evening,Note-taking,2.0,2.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00096307,NGA_STU_00040226,6.5,Home,Night,Video Tutorials,3.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00029900,NGA_STU_00059502,2.6,Home,Night,Practice Problems,2.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00008558,NGA_STU_00044377,5.7,Home,Afternoon,Reading,4.0,3.0,True,Term 2,2023/2024,
NGA_HAB_00021929,NGA_STU_00057255,4.5,Library,Evening,Practice Problems,3.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00025074,NGA_STU_00047163,5.0,Home,Evening,Reading,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00006443,NGA_STU_00055734,14.9,Study Group,Evening,Group Study,3.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00015875,NGA_STU_00046629,6.8,Online,Afternoon,Note-taking,2.0,3.0,False,Term 3,2024/2025,Nigeria
NGA_HAB_00054155,NGA_STU_00044332,5.1,Home,Evening,Reading,3.0,4.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00027264,NGA_STU_00049573,10.3,Home,Variable,Group Study,3.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00001592,NGA_STU_00095505,8.7,Classroom,Variable,Group Study,4.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00077105,NGA_STU_00027945,12.9,Study Group,Morning,Reading,5.0,5.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00036703,NGA_STU_00030898,10.1,Home,Night,Flashcards,5.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00072397,NGA_STU_00024832,6.0,Study Group,Variable,Video Tutorials,3.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00021822,NGA_STU_00033367,3.6,Home,Morning,Reading,1.0,4.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00064573,NGA_STU_00044774,7.1,Library,Variable,Video Tutorials,3.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00093632,NGA_STU_00030058,9.4,Home,Variable,Video Tutorials,2.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00012827,NGA_STU_00048135,3.8,Online,Evening,Note-taking,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00016842,NGA_STU_00007814,4.4,Study Group,Evening,Video Tutorials,2.0,4.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00088360,NGA_STU_00044239,6.4,Home,Night,Flashcards,3.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00029026,NGA_STU_00047659,5.0,Home,Afternoon,Note-taking,3.0,2.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00039487,NGA_STU_00035205,10.4,Home,Evening,Group Study,1.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00098367,NGA_STU_00064379,5.1,Online,Evening,Flashcards,3.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00033624,NGA_STU_00040001,6.3,Library,Variable,Group Study,3.0,5.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00083915,NGA_STU_00005802,9.7,Library,Afternoon,Reading,3.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00074561,NGA_STU_00003467,5.4,Home,Evening,Practice Problems,2.0,5.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00043300,NGA_STU_00075794,8.6,Library,Afternoon,Video Tutorials,3.0,3.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00083846,NGA_STU_00032959,5.0,Classroom,Evening,Note-taking,1.0,3.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00051388,NGA_STU_00044677,4.6,Classroom,Variable,Group Study,5.0,4.0,False,Term 3,2023/2024,Nigeria
NGA_HAB_00094556,NGA_STU_00083144,3.4,Study Group,Night,Practice Problems,3.0,4.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00057721,NGA_STU_00016094,10.0,Classroom,Night,Reading,4.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00051718,NGA_STU_00016077,8.6,Home,Evening,Reading,4.0,5.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00013041,NGA_STU_00010510,8.1,Home,Evening,Note-taking,2.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00095609,NGA_STU_00027586,5.9,Home,Morning,Practice Problems,2.0,5.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00002788,NGA_STU_00093471,8.0,Study Group,Evening,Reading,3.0,1.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00068240,NGA_STU_00036032,8.7,Home,Evening,Practice Problems,1.0,4.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00088237,NGA_STU_00098967,7.1,,Afternoon,Note-taking,1.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00002357,NGA_STU_00081571,6.2,Library,Morning,Reading,3.0,5.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00040623,NGA_STU_00019432,7.3,Library,Afternoon,Group Study,3.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00060636,NGA_STU_00064783,7.4,Library,Variable,Group Study,3.0,1.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00006370,NGA_STU_00084698,6.4,Home,Night,Group Study,2.0,4.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00063558,NGA_STU_00088991,,Home,Evening,Group Study,3.0,1.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00041550,NGA_STU_00095098,8.2,Library,Evening,Video Tutorials,5.0,4.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00048976,NGA_STU_00062891,5.1,Library,Morning,Reading,2.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00059009,NGA_STU_00081392,2.6,Online,Evening,Practice Problems,4.0,4.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00039344,NGA_STU_00006480,7.1,Home,Evening,Group Study,5.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00079432,NGA_STU_00055099,3.1,Home,Morning,Note-taking,2.0,,True,Term 3,2024/2025,Nigeria
NGA_HAB_00094764,NGA_STU_00039821,14.3,Home,Evening,Video Tutorials,4.0,3.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00071292,NGA_STU_00008460,3.3,Library,Variable,Group Study,3.0,5.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00012276,NGA_STU_00065149,9.0,Home,Morning,Video Tutorials,4.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00004421,NGA_STU_00062433,4.2,Library,Evening,Reading,3.0,1.0,True,Term 2,,Nigeria
NGA_HAB_00054403,NGA_STU_00023361,9.4,Home,Morning,Reading,1.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00086316,NGA_STU_00072078,10.5,Home,Night,Group Study,1.0,3.0,True,Term 3,2024/2025,Nigeria
